"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","43422","Calculation Testing | Scenario=S24 | Mode=Cash | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:46:59 IST 2025","passed","Thu Oct 16 08:47:43 IST 2025","TestCalculations","Calculation_test","",""
"","24416","eNach With out round off Calculation Testing | Scenario=S24 | Mode=UPI INTENT | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:38:38 IST 2025","passed","Thu Oct 16 08:39:03 IST 2025","TestCalculations","eNach_test","",""
"","17262","Calculation Testing | Scenario=S24 | Mode=Cash | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:47:50 IST 2025","passed","Thu Oct 16 08:48:08 IST 2025","TestCalculations","Calculation_test","",""
"","19963","Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:54:18 IST 2025","passed","Thu Oct 16 08:54:38 IST 2025","TestCalculations","Calculation_test","",""
"","11550","Calculation Testing | Scenario=S24 | Mode=Net Banking | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:46:34 IST 2025","failed","Thu Oct 16 08:46:46 IST 2025","TestCalculations","Calculation_test","",""
"","12031","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Credit Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:35:46 IST 2025","failed","Thu Oct 16 08:35:58 IST 2025","TestCalculations","eNach_test","",""
"","32921","eNach With out round off Calculation Testing | Scenario=S24 | Mode=UPI INTENT | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:37:55 IST 2025","passed","Thu Oct 16 08:38:28 IST 2025","TestCalculations","eNach_test","",""
"","19527","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Debit Card | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:25:42 IST 2025","passed","Thu Oct 16 08:26:01 IST 2025","TestCalculations","eNach_test","",""
"","19435","eNach With out round off Calculation Testing | Scenario=S24 | Mode=RuPay Card | Slab=1001-5000 | Amount=1200","testCases","Thu Oct 16 08:34:50 IST 2025","passed","Thu Oct 16 08:35:09 IST 2025","TestCalculations","eNach_test","",""
"","17264","eNach With out round off Calculation Testing | Scenario=S24 | Mode=Wallet | Slab=5001-10000 | Amount=6000","testCases","Thu Oct 16 08:32:27 IST 2025","passed","Thu Oct 16 08:32:44 IST 2025","TestCalculations","eNach_test","",""
"","23565","eNach With out round off Calculation Testing | Scenario=S24 | Mode=UPI INTENT | Slab=1-1000 | Amount=800","testCases","Thu Oct 16 08:37:21 IST 2025","failed","Thu Oct 16 08:37:45 IST 2025","TestCalculations","eNach_test","",""
